Date,AAPL,MSFT
2014-01-02,-0.01406,-0.00668
2014-01-03,-0.02197,-0.00673
2014-01-06,0.00545,-0.02113
2014-01-07,-0.00715,0.00775
2014-01-08,0.00633,-0.01785
2014-01-09,-0.01277,-0.00643
2014-01-10,-0.00667,0.01435
2014-01-13,0.00524,-0.02941
2014-01-14,0.0199,0.02287
2014-01-15,0.02008,0.02739
2014-01-16,-0.00558,0.00354
2014-01-17,-0.0245,-0.01382
2014-01-21,0.01554,-0.00577
2014-01-22,0.00444,-0.00664
2014-01-23,0.00847,0.00362
2014-01-24,-0.01818,0.0208
2014-01-27,0.00811,-0.02119
2014-01-28,-0.07993,0.00666
2014-01-29,-0.01135,0.01075
2014-01-30,-0.00194,0.00546
2014-01-31,0.00164,0.02659
2014-02-03,0.00186,-0.03594
2014-02-04,0.01448,-0.00356
2014-02-05,0.00747,-0.01458
2014-02-06,0.00583,0.01005
2014-02-07,0.01399,0.0105
2014-02-10,0.01791,0.00656
2014-02-11,0.01318,0.01005
2014-02-12,-7E-05,0.00807
2014-02-13,0.01588,0.00374
2014-02-14,-0.00081,0.00027
2014-02-18,0.00368,0.00214
2014-02-19,-0.01579,0.00241
2014-02-20,-0.01157,0.0064
2014-02-21,-0.01111,0.00609
2014-02-24,0.00438,-0.00764
2014-02-25,-0.01041,-0.00398
2014-02-26,-0.00902,-0.00186
2014-02-27,0.01995,0.01041
2014-02-28,-0.00271,0.01189
2014-03-03,0.00289,-0.01383
2014-03-04,0.00659,0.01668
2014-03-05,0.00211,-0.00781
2014-03-06,-0.00302,0.00105
2014-03-07,-0.00058,-0.00655
2014-03-10,0.0009,-0.00211
2014-03-11,0.00974,0.00529
2014-03-12,0.00097,0.00658
2014-03-13,-0.01111,-0.00993
2014-03-14,-0.01123,-0.00501
2014-03-17,0.00391,0.00928
2014-03-18,0.00885,0.03942
2014-03-19,-0.00026,-0.00708
2014-03-20,-0.00482,0.02699
2014-03-21,0.00789,-0.00422
2014-03-24,0.01186,0.00847
2014-03-25,0.01076,-0.00395
2014-03-26,-0.00956,-0.01363
2014-03-27,-0.0043,-0.01081
2014-03-28,-0.00112,0.02388
2014-03-31,-0.00022,0.01712
2014-04-01,0.00915,0.01049
2014-04-02,0.00166,-0.00169
2014-04-03,-0.00693,-0.00822
2014-04-04,-0.01294,-0.0278
2014-04-07,-0.0157,-0.00176
2014-04-08,-6E-05,0.0005
2014-04-09,0.01314,0.01632
2014-04-10,-0.0129,-0.02743
2014-04-11,-0.00739,-0.00381
2014-04-14,0.00398,-0.00077
2014-04-15,-0.00713,0.01455
